"Avg_Cost","SubItemType_C","nrOfFloors","Construction_Material_C","Item_Type_C","FloorsType_C","Floors_No","floodvulnerability","windvulnerability","postcode_coast_flg","postcode_alt_mean","postcode_slo_mean","postcode_rgh_mean","Building_Age","log_postcode_area","log_postcode_perimeter","log_postcode_coast_len"
391.02,1,0,1,1,2,1,"3","2",2,138.14,7.057,66.436,19,16.4305022623201,10.4610727087051,9.63292477189174
591.02,1,0,1,1,2,1,"3","2",2,138.14,7.057,66.436,19,16.4305022623201,10.4610727087051,9.63292477189174
584.72,2,0,1,3,1,1,"3","2",2,138.14,7.057,66.436,58,16.4305022623201,10.4610727087051,9.63292477189174
291.76,1,0,1,1,2,1,"3","2",2,138.14,7.057,66.436,20,16.4305022623201,10.4610727087051,9.63292477189174
2891.76,1,0,1,1,1,3,"3","2",2,138.14,7.057,66.436,17,16.4305022623201,10.4610727087051,9.63292477189174
1136.4,1,2,1,1,1,1,"3","2",2,24.791,2.92,26.905,63,15.5939130519765,10.3534479005308,10.195895938352
91.76,2,0,1,1,1,1,"3","2",2,85.882,4.449,40.595,40,16.7396652475381,10.2587114442075,8.79649020733358
1029.04,1,0,1,3,1,3,"3","2",2,85.882,4.449,40.595,32,16.7396652475381,10.2587114442075,8.79649020733358
282.72,2,1,1,3,1,1,"3","2",2,85.882,4.449,40.595,37,16.7396652475381,10.2587114442075,8.79649020733358
1555.2,1,0,1,1,2,1,"3","2",2,85.882,4.449,40.595,37,16.7396652475381,10.2587114442075,8.79649020733358
941.76,1,0,1,1,2,1,"3","2",2,94.229,3.89,36.753,40,16.0336832935893,9.84017494632436,8.6960086088809
151,1,0,1,3,2,1,"3","2",2,94.229,3.89,36.753,44,16.0336832935893,9.84017494632436,8.6960086088809
135.88,1,0,1,1,2,1,"3","2",2,94.229,3.89,36.753,25,16.0336832935893,9.84017494632436,8.6960086088809
241.76,1,0,1,1,2,1,"3","2",2,94.229,3.89,36.753,25,16.0336832935893,9.84017494632436,8.6960086088809
203.4,1,4,1,1,2,1,"3","2",2,94.229,3.89,36.753,40,16.0336832935893,9.84017494632436,8.6960086088809
